cohort_label,month_index,retention_pct,cohort_customers,active_customers
2017-01,0,100.0,752,752
2017-01,1,0.4,752,3
2017-01,2,0.27,752,2
2017-01,3,0.13,752,1
2017-01,4,0.4,752,3
2017-01,5,0.13,752,1
2017-01,6,0.4,752,3
2017-01,7,0.13,752,1
2017-01,8,0.13,752,1
2017-01,10,0.4,752,3
2017-01,11,0.13,752,1
2017-02,0,100.0,1690,1690
2017-02,1,0.24,1690,4
2017-02,2,0.3,1690,5
2017-02,3,0.12,1690,2
2017-02,4,0.41,1690,7
2017-02,5,0.12,1690,2
2017-02,6,0.24,1690,4
2017-02,7,0.18,1690,3
2017-02,8,0.12,1690,2
2017-02,9,0.18,1690,3
2017-02,10,0.12,1690,2
2017-02,11,0.3,1690,5
2017-03,0,100.0,2571,2571
2017-03,1,0.51,2571,13
2017-03,2,0.35,2571,9
2017-03,3,0.39,2571,10
2017-03,4,0.35,2571,9
2017-03,5,0.16,2571,4
2017-03,6,0.16,2571,4
2017-03,7,0.31,2571,8
2017-03,8,0.35,2571,9
2017-03,9,0.08,2571,2
2017-03,10,0.39,2571,10
2017-03,11,0.12,2571,3
2017-04,0,100.0,2325,2325
2017-04,1,0.6,2325,14
2017-04,2,0.22,2325,5
2017-04,3,0.17,2325,4
2017-04,4,0.3,2325,7
2017-04,5,0.26,2325,6
2017-04,6,0.34,2325,8
2017-04,7,0.3,2325,7
2017-04,8,0.3,2325,7
2017-04,9,0.17,2325,4
2017-04,10,0.26,2325,6
2017-04,11,0.09,2325,2
2017-05,0,100.0,3541,3541
2017-05,1,0.48,3541,17
2017-05,2,0.48,3541,17
2017-05,3,0.4,3541,14
2017-05,4,0.31,3541,11
2017-05,5,0.34,3541,12
2017-05,6,0.42,3541,15
2017-05,7,0.14,3541,5
2017-05,8,0.25,3541,9
2017-05,9,0.25,3541,9
2017-05,10,0.25,3541,9
2017-05,11,0.34,3541,12
2017-06,0,100.0,3102,3102
2017-06,1,0.45,3102,14
2017-06,2,0.35,3102,11
2017-06,3,0.39,3102,12
2017-06,4,0.26,3102,8
2017-06,5,0.39,3102,12
2017-06,6,0.35,3102,11
2017-06,7,0.23,3102,7
2017-06,8,0.13,3102,4
2017-06,9,0.23,3102,7
2017-06,10,0.32,3102,10
2017-06,11,0.32,3102,10
2017-07,0,100.0,3822,3822
2017-07,1,0.52,3822,20
2017-07,2,0.34,3822,13
